StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q75,Q74,Q35_1,Q35_5,Q35_2,Q35_4,Q35_3,Q35_8,Q35_9,Q35_10,Q76_1,Q77_2,Q78_3,Q83_4,Q82_5,Q80_6,Q81_9,Q79_7,Q46_5,Q47_1,Q48_1,Q49_1,Q53,Q8,Q58_1,Q58_2,Q58_3,Q12,Q13
4/22/2024 16:31,4/22/2024 17:00,100,1745,TRUE,4/22/2024 17:00,R_2dMZIRom9kFnxGg,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants","ACC 6150 Information Systems Auditing,ACC 679R Taxation of Business Entities II",5,3,1,6,8,4,7,2,,,5,,,,,5,18,25,8,18,Yes,Yes,Neither disagree or agree,Disagree,Agree,,
4/22/2024 15:43,4/22/2024 17:18,100,5701,TRUE,4/22/2024 17:18,R_2wBwVouJnxVjDaE,anonymous,EN,"ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6350 Management Control Systems","ACC 6250 Financial Reporting & Analysis,ACC 6600 Business Law for Accountants (if not taken as core),ACC 679R Taxation of Business Entities II",8,4,2,5,6,7,1,3,,,,3,,,4,5,8,18,4,12,Yes,Yes,Neither disagree or agree,Agree,Agree,,
4/22/2024 17:04,4/22/2024 17:20,100,951,TRUE,4/22/2024 17:20,R_2lxYNlr60s8bClH,anonymous,EN,"ACC 6400 Advanced Taxation of Business Entites,ACC 6350 Management Control Systems",ACC 6140 Fraud Examination & Forensic Accounting,3,2,1,5,7,6,4,8,,4,,,,,,,10,14,6,6,Yes,Yes,Agree,Agree,Agree,,
4/22/2024 17:21,4/22/2024 17:40,100,1114,TRUE,4/22/2024 17:40,R_23mRmHj0Xqi2bbr,anonymous,EN,"ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6600 Business Law for Accountants","ACC 6150 Information Systems Auditing,ACC 6350 Management Control System (if not taken as core),ACC 679R Taxation of Business Entities II",8,5,2,3,6,7,4,1,,,4,,4,,,4,14,22,10,15,Yes,Yes,Neither disagree or agree,Neither disagree or agree,Neither disagree or agree,,
4/22/2024 16:30,4/22/2024 18:13,100,6179,TRUE,4/22/2024 18:13,R_1jtkRGO4SW8Q8WR,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems",ACC 6250 Financial Reporting & Analysis,1,6,3,7,4,2,5,8,,,,5,,,,,15,20,6,15,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,"FAR,Audit",
4/22/2024 18:01,4/22/2024 18:14,100,760,TRUE,4/22/2024 18:14,R_1IKOWITOP5p06cR,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants","ACC 6250 Financial Reporting & Analysis,ACC 679R Taxation of Business Entities II",3,5,1,6,8,7,4,2,,,,5,,,,5,20,25,16,21,Yes,Yes,Strongly Agree,Agree,Strongly Agree,,
4/22/2024 18:31,4/22/2024 18:36,100,287,TRUE,4/22/2024 18:36,R_50NyVCA5m9PXgdt,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 6350 Management Control System (if not taken as core),ACC 679R Taxation of Business Entities II",7,2,3,1,4,6,5,8,,5,5,,4,,,5,15,25,11,25,Yes,Yes,Strongly Disagree,Strongly Agree,Neither disagree or agree,,
4/22/2024 18:46,4/22/2024 18:49,100,187,TRUE,4/22/2024 18:49,R_2SfyzJTGRxn66MU,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6600 Business Law for Accountants","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 679R Taxation of Business Entities II",6,7,3,2,5,4,8,1,,4,4,,,,,5,10,15,2,10,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,,
4/22/2024 18:35,4/22/2024 19:00,100,1552,TRUE,4/22/2024 19:00,R_1LYCVtR4fpNWOt5,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 679R Taxation of Business Entities II",4,7,6,3,5,1,2,8,,,3,5,,,,4,16,20,6,12,Yes,Yes,Neither disagree or agree,Agree,Agree,Audit,
4/22/2024 19:58,4/22/2024 20:06,100,482,TRUE,4/22/2024 20:06,R_3cBXSQVqoN0jtCT,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants","ACC 6250 Financial Reporting & Analysis,ACC 679R Taxation of Business Entities II",8,4,2,5,6,3,7,1,,,,4,,,,5,10,20,2,8,No,No,Agree,Agree,Neither disagree or agree,,
4/22/2024 19:25,4/22/2024 20:16,100,3037,TRUE,4/22/2024 20:16,R_16KklfVkSoiaDvj,anonymous,EN,"ACC 6400 Advanced Taxation of Business Entites,ACC 6560 Financial Accounting Theory & Research I",ACC 6350 Management Control System (if not taken as core),3,1,5,7,8,6,2,4,,,,,5,,,,7,13,3,9,Yes,Yes,Strongly Agree,Agree,Neither disagree or agree,,
4/22/2024 19:56,4/22/2024 20:24,100,1683,TRUE,4/22/2024 20:24,R_1DqhHiQm0UPD6KZ,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants",ACC 6250 Financial Reporting & Analysis,4,1,5,7,8,3,6,2,,,,4,,,,,13,25,1,16,Maybe,Maybe,Strongly Agree,Agree,Strongly Agree,,
4/22/2024 16:48,4/22/2024 20:37,100,13756,TRUE,4/22/2024 20:37,R_5JPfTIksoH1owJQ,anonymous,EN,ACC 6560 Financial Accounting Theory & Research I,,2,6,1,5,3,4,7,8,,,,,,,,,7,10,4,6,Yes,Yes,Strongly Agree,Strongly Agree,Agree,"FAR,Audit",
4/22/2024 20:05,4/22/2024 20:44,100,2310,TRUE,4/22/2024 20:44,R_269iJxToTTKKeCV,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core),ACC 679R Taxation of Business Entities II",3,2,1,5,7,6,4,8,,,4,3,5,,,4,20,23,12,10,Maybe,Yes,Agree,Agree,Disagree,,
4/22/2024 21:08,4/22/2024 21:21,100,791,TRUE,4/22/2024 21:21,R_7e4fFgIjzFaIkJK,anonymous,EN,"ACC 6300 Advanced Data Analytics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6150 Information Systems Auditing,ACC 6600 Business Law for Accountants (if not taken as core)",1,6,3,7,2,8,5,4,,,4,,,,4,,11,16,3,16,Yes,Yes,Neither disagree or agree,Neither disagree or agree,Neither disagree or agree,FAR,
4/23/2024 1:24,4/23/2024 1:44,100,1144,TRUE,4/23/2024 1:44,R_2zoKi6bnZOSR6hI,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6020 Advanced Financial Application,ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis",3,2,5,4,7,1,6,8,5,5,5,3,,,,,10,15,5,10,Yes,Yes,Agree,Neither disagree or agree,Neither disagree or agree,,
4/23/2024 7:28,4/23/2024 7:42,100,836,TRUE,4/23/2024 7:42,R_3p4ib8ootrqPE02,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6250 Financial Reporting & Analysis,ACC 6600 Business Law for Accountants (if not taken as core)",8,3,1,6,7,4,5,2,,,,4,,,4,,10,15,4,6,Yes,Yes,Neither disagree or agree,Agree,Neither disagree or agree,,
4/23/2024 10:19,4/23/2024 10:31,100,662,TRUE,4/23/2024 10:31,R_5IYInL1OOCzqSf0,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 679R Taxation of Business Entities II",6,1,2,3,7,4,5,8,,2,3,,,,,3,13,18,3,8,Maybe,Yes,Disagree,Strongly Disagree,Agree,,
4/23/2024 10:10,4/23/2024 10:34,100,1481,TRUE,4/23/2024 10:34,R_3l1v1SOa4PUwadj,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 679R Taxation of Business Entities II",5,3,1,7,6,4,2,8,,,4,5,,,,5,14,23,6,12,No,Yes,Neither disagree or agree,Disagree,Strongly Agree,,
4/23/2024 9:56,4/23/2024 10:54,100,3483,TRUE,4/23/2024 10:54,R_24GCRc36OmKFkoH,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 679R Taxation of Business Entities II",6,2,1,4,7,3,5,8,,,4,5,,,,5,10,14,8,15,Yes,Yes,Disagree,Neither disagree or agree,Agree,,
4/23/2024 10:56,4/23/2024 11:17,100,1225,TRUE,4/23/2024 11:17,R_8eFWpHzvI2I12j9,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6540 Professional Ethics","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core)",,,,,,,,,,5,4,5,4,,,,23,21,11,16,Yes,Yes,Neither disagree or agree,Strongly Agree,Agree,,
4/23/2024 9:01,4/23/2024 11:40,100,9509,TRUE,4/23/2024 11:40,R_1074pRfnNoKLPp4,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6020 Advanced Financial Application,ACC 6150 Information Systems Auditing",3,5,2,4,6,1,7,8,5,,5,,,,,,18,25,10,20,Yes,Yes,Strongly Agree,Strongly Agree,Agree,,
4/23/2024 12:18,4/23/2024 12:54,100,2166,TRUE,4/23/2024 12:54,R_1gpyDxhYIBrMvDk,anonymous,EN,,ACC 6600 Business Law for Accountants (if not taken as core),4,5,6,1,3,2,8,7,,,,,,,4,,10,18,2,10,Maybe,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,"FAR,Audit","FAR,Audit"
4/23/2024 13:20,4/23/2024 14:00,100,2422,TRUE,4/23/2024 14:00,R_1DnbK1Wb70knxO1,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I","ACC 6350 Management Control System (if not taken as core),ACC 6410 Tax Research and Procedure,ACC 6600 Business Law for Accountants (if not taken as core),ACC 679R Taxation of Business Entities II",6,3,1,5,7,4,8,2,,,,,,4,4,5,20,25,6,15,Yes,Yes,Neither disagree or agree,Neither disagree or agree,Strongly Agree,,
4/23/2024 14:00,4/23/2024 14:18,100,1064,TRUE,4/23/2024 14:18,R_5rNKMNZnIKgLuoY,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6020 Advanced Financial Application,ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing",6,5,7,2,3,1,4,8,5,2,5,,,,,,13,25,4,20,Maybe,Yes,Neither disagree or agree,Agree,Agree,,
4/22/2024 19:19,4/23/2024 15:10,100,71431,TRUE,4/23/2024 15:10,R_2D6bQWfAEvmCn3r,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants","ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core),ACC 6600 Business Law for Accountants (if not taken as core)",8,5,3,4,6,2,7,1,,,2,4,3,,5,,7,15,2,4,Yes,Yes,Disagree,Agree,Agree,Audit,
4/23/2024 8:48,4/23/2024 15:22,100,23642,TRUE,4/23/2024 15:22,R_3YfVvJcf7ECx1hq,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 679R Taxation of Business Entities II",2,5,1,6,7,3,4,8,,1,3,,,,,5,18,25,12,15,Maybe,Yes,Strongly Disagree,Strongly Disagree,Neither disagree or agree,,
4/23/2024 18:32,4/23/2024 19:01,100,1758,TRUE,4/23/2024 19:01,R_5TNpcj1BO2FcMdv,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core)",3,2,1,6,7,4,5,8,,4,5,3,3,,,,7,9,3,8,Yes,Yes,Agree,Neither disagree or agree,Strongly Agree,,
4/23/2024 20:05,4/23/2024 20:58,100,3175,TRUE,4/23/2024 20:58,R_10czstobtIJLxG8,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6600 Business Law for Accountants","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core)",5,3,1,7,8,6,2,4,,2,,3,5,,,,4,8,1,2,Yes,Yes,Agree,Agree,Neither disagree or agree,"FAR,Audit,Regulation","FAR,Audit,Regulation"
